"","X","BD","year","yd","monthproxy","smax","zmax","delta","sanom","sb","zt","zb","N2","zn2","tmax","tt","tb","smax_yn","Name","NumofPoly","NumofSta","Region","Area","Type","lon","lat"
"7074",7073,76,1997,255,5,33.946,23,5.37272727272727,1.11799999999999,32.828,19.6272727272727,25,0.00265765644161726,22,22.96,23.4039090909091,18.19,1,1,1,1,"MAB",1540.431866,"SB",-74.9067,36.0717
"7076",7075,90,1997,256,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8733,35.925
"7077",7076,63,1997,256,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.84,35.575
"7655",7654,94,1998,42,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.78,36.4583
"7656",7655,100,1998,42,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.765,36.495
"7658",7657,84,1998,43,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8617,36.15
"7659",7658,105,1998,43,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.88,35.8217
"7660",7659,68,1998,43,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.9283,35.8217
"7661",7660,79,1998,43,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8483,35.6183
"7777",7776,127,1998,66,2,35.575,108,29.6470588235294,0.413000000000004,35.162,91.3529411764706,121,0.000344256960668033,110,16.03,15.3058823529412,13.63,1,1,1,1,"MAB",1540.431866,"SB",-74.815,35.9783
"7778",7777,78,1998,66,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.9183,35.825
"7779",7778,70,1998,66,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.9033,35.7367
"7783",7782,101,1998,72,2,35.202,82,25.186440677966,0.275999999999996,34.926,62.813559322034,88,0.00018965934754978,83,14.91,14.6964406779661,13.73,1,1,1,1,"MAB",1540.431866,"SB",-74.8283,36.01
"8181",8180,142,1998,268,5,34.686,20,24.2343612334802,0.447000000000003,34.239,1,25.2343612334802,0.00242791041146804,25,24.63,24.57,19.0320792951542,1,1,1,1,"MAB",1540.431866,"SB",-74.785,36.285
"8182",8181,128,1998,268,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.7883,36.205
"8183",8182,91,1998,268,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8417,36.145
"8184",8183,57,1998,268,5,34.908,18,19.4383561643836,1.234,33.674,9.56164383561639,29,0.000844364593697927,35,25.41,24.1930136986301,20.63,1,1,1,1,"MAB",1540.431866,"SB",-74.9133,35.68
"8691",8690,93,1999,37,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.7767,36.4783
"8692",8691,74,1999,37,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8833,36.2467
"8693",8692,58,1999,37,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.9483,35.8183
"8694",8693,90,1999,37,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8833,35.8033
"8695",8694,74,1999,37,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8367,35.6017
"8696",8695,57,1999,37,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.945,35.7283
"8798",8797,57,1999,65,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8917,36.2733
"8800",8799,150,1999,66,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8,36.0317
"8801",8800,120,1999,66,2,36.083,76,48.3292682926829,0.387,35.696,63.6707317073171,112,0.000431031087435188,54,15.86,15.3074390243902,13.77,1,1,1,1,"MAB",1540.431866,"SB",-74.8517,35.7567
"9270",9269,133,1999,266,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.7817,36.4117
"9271",9270,111,1999,267,5,36.003,67,47.1121495327103,0.210000000000001,35.793,52.8878504672897,100,0.00125866942032796,24,16.34,17.3902803738318,14.42,1,1,1,1,"MAB",1540.431866,"SB",-74.8117,36.1283
