"","spp","Region","Type","bin","n","mean_ct","se_ct","conf_interval05","conf_interval95"
"183","citarc","MAB","SB",4,1000,4.84070795514774,0.00695049585070481,4.38312644760487,5.24595881665886
"184","citarc","MAB","SB",5,1000,4.93450921281289,0.00610402839166622,4.56474382722304,5.296980027545
"185","citarc","SNE","IS",1,1000,4.54010599138902,0.00495092857031014,4.24971244363294,4.85977772305033
"186","citarc","SNE","IS",2,1000,4.88514711366427,0.00190652565569507,4.75118092000605,4.98292362130432
"187","citarc","SNE","IS",3,1000,4.35732789886942,0.0039571344546378,4.17503427896074,4.68294388838422
"188","citarc","SNE","IS",4,1000,4.70588159898276,0.00382223528235442,4.51228153871897,5.03486106069974
"189","citarc","SNE","IS",5,1000,4.75628186087253,0.00235368809516377,4.59778195425566,4.89203716245591
"190","citarc","SNE","MS",1,1000,4.82446777905577,0.00209304407942754,4.67371736985038,4.92877183610688
"191","citarc","SNE","MS",2,1000,4.91866626837513,0.00288970374490772,4.7248865061238,5.08243587683915
"192","citarc","SNE","MS",3,1000,4.19357673771146,0.00189096384931123,4.09435906234156,4.3391469723757
"193","citarc","SNE","MS",4,1000,4.64993811749031,0.00320321105277081,4.44019258907159,4.82319331944183
"194","citarc","SNE","MS",5,1000,4.52360824823171,0.00215475036058302,4.3869830176259,4.66181108041532
"195","cluhar","GB","BANK",1,1000,5.2005649175098,0.00255227447616971,5.05256178707737,5.36446555183846
"196","cluhar","GB","BANK",2,1000,5.63738048753428,0.00399419660774357,5.38461235449477,5.86039402651639
"197","cluhar","GB","BANK",3,1000,5.49113934111237,0.00557762083539915,5.06384269203088,5.75072823470941
"198","cluhar","GB","BANK",4,1000,5.12544575047899,0.0014103449350403,5.05898260100125,5.23502547192436
"199","cluhar","GB","BANK",5,1000,5.11108683315396,0.00165746587153173,5.03652587425797,5.23368603646282
"200","cluhar","GB","SB",1,1000,5.26250274879329,0.00788425209126937,4.75956494205858,5.69013395313876
"201","cluhar","GB","SB",2,1000,5.39875578383425,0.013883494533386,4.13985347096014,5.94078302248429
"202","cluhar","GB","SB",3,1000,5.50191070143924,0.0197327718457995,3.87632467442248,6
"203","cluhar","GB","SB",4,1000,5.58929555307093,0.00558418952132053,5.21613095668023,5.97221248601676
"204","cluhar","GB","SB",5,1000,5.21031605325396,0.00716908020488972,5,5.8271738384163
