"","Region","Type",".y.","group1","group2","n1","n2","estimate","conf.low","conf.high","se","statistic","df","p.adj","p.adj.signif","method"
"72","GOM","MS","diff_ci","wind3","wind6",12,12,-0.0495758290948181,-0.913441527833153,0.814289869643517,0.196088280039468,0.178773585697398,21.9986266682616,1,"ns","Games-Howell"
"73","GOM","MS","diff_ci","wind4","wind5",12,12,0.0474748131388589,-0.822237912807962,0.917187539085679,0.197339757823711,0.170111500471385,21.9050270918362,1,"ns","Games-Howell"
"74","GOM","MS","diff_ci","wind4","wind6",12,12,-0.0635795591158839,-0.914035323086401,0.786876204854633,0.193035694544229,0.23289753484111,21.987624515496,1,"ns","Games-Howell"
"75","GOM","MS","diff_ci","wind5","wind6",12,12,-0.111054372254743,-0.99038138715849,0.768272642649004,0.199567057419676,0.393488287681701,21.9609143535086,0.999,"ns","Games-Howell"
"76","MAB","IS","diff_ci","wind1","wind2",7,7,-0.0516818092084546,-0.95038016341868,0.847016545001771,0.189014794025482,0.193342314519364,11.9336059972923,1,"ns","Games-Howell"
"77","MAB","IS","diff_ci","wind1","wind3",7,7,-0.0558431267274142,-0.983165627999762,0.871479374544934,0.195214484007425,0.202275224568442,11.9993395223739,1,"ns","Games-Howell"
"78","MAB","IS","diff_ci","wind1","wind4",7,7,-0.128701364104772,-1.09085287973276,0.833450151523216,0.202414296346575,0.449600690015605,11.9526000614151,0.997,"ns","Games-Howell"
"79","MAB","IS","diff_ci","wind1","wind5",7,7,-0.0113605980278266,-0.953989058383368,0.931267862327715,0.198417976066039,0.0404860288522301,11.9925953635622,1,"ns","Games-Howell"
"80","MAB","IS","diff_ci","wind1","wind6",7,7,-0.0764278196920007,-0.98653079808423,0.833675158700228,0.191521725203553,0.282174930901854,11.9739509548549,1,"ns","Games-Howell"
"81","MAB","IS","diff_ci","wind2","wind3",7,7,-0.00416131751895965,-0.899140148113718,0.890817513075798,0.188265399610291,0.0156295094181815,11.946041133324,1,"ns","Games-Howell"
"82","MAB","IS","diff_ci","wind2","wind4",7,7,-0.0770195548963173,-1.00965456727821,0.855615457485579,0.195721008810031,0.27825857776983,11.7791748072101,1,"ns","Games-Howell"
"83","MAB","IS","diff_ci","wind2","wind5",7,7,0.0403212111806279,-0.871250523469244,0.9518929458305,0.191585122465917,0.148818454609121,11.8829371568321,1,"ns","Games-Howell"
"84","MAB","IS","diff_ci","wind2","wind6",7,7,-0.0247460104835462,-0.90096313301314,0.851471112046047,0.184433557546024,0.0948746640961061,11.9905690047783,1,"ns","Games-Howell"
"85","MAB","IS","diff_ci","wind3","wind4",7,7,-0.0728582373773576,-1.03184191758789,0.886125442833173,0.201714688843936,0.255403084475856,11.9408868015393,1,"ns","Games-Howell"
"86","MAB","IS","diff_ci","wind3","wind5",7,7,0.0444825286995876,-0.894821492573365,0.98378654997254,0.197704227461301,0.159095726437921,11.9875234429016,1,"ns","Games-Howell"
"87","MAB","IS","diff_ci","wind3","wind6",7,7,-0.0205846929645865,-0.927077129746107,0.885907743816934,0.190782178294704,0.0762942121429075,11.9815543694158,1,"ns","Games-Howell"
"88","MAB","IS","diff_ci","wind4","wind5",7,7,0.117340766076945,-0.855822036396166,1.09050356855006,0.204816537797278,0.40510621014772,11.9825283340375,0.998,"ns","Games-Howell"
"89","MAB","IS","diff_ci","wind4","wind6",7,7,0.0522735444127711,-0.890831137352461,0.995378226178003,0.198143110286646,0.186546873507,11.8583487167633,1,"ns","Games-Howell"
"90","MAB","IS","diff_ci","wind5","wind6",7,7,-0.0650672216641741,-0.98767671675806,0.857542273429712,0.19405885193603,0.237090311586881,11.9391221123188,1,"ns","Games-Howell"
"91","MAB","MS","diff_ci","wind1","wind2",11,11,-0.0662835120062426,-0.878050958359118,0.745483934346633,0.181102320162583,0.258801327218765,18.4498399464015,1,"ns","Games-Howell"
"92","MAB","MS","diff_ci","wind1","wind3",11,11,-0.305215249727849,-1.08798500597745,0.477554506521755,0.173173541804156,1.24626297155821,17.1136518187833,0.809,"ns","Games-Howell"
"93","MAB","MS","diff_ci","wind1","wind4",11,11,-0.130168864758508,-0.937156253216301,0.676818523699286,0.17984260346734,0.511799124320455,18.2671546342472,0.995,"ns","Games-Howell"
"94","MAB","MS","diff_ci","wind1","wind5",11,11,-0.110472938548879,-0.92229795376822,0.701352076670461,0.181117396701393,0.431301274246487,18.4519581267925,0.998,"ns","Games-Howell"
"95","MAB","MS","diff_ci","wind1","wind6",11,11,-0.177849127417113,-1.00888618710861,0.653187932274383,0.186037567745534,0.675983488435873,19.0579157863994,0.983,"ns","Games-Howell"
"96","MAB","MS","diff_ci","wind2","wind3",11,11,-0.238931737721606,-0.876300703301418,0.398437227858205,0.143115869548442,1.18051375096769,19.6307826321026,0.841,"ns","Games-Howell"
"97","MAB","MS","diff_ci","wind2","wind4",11,11,-0.0638853527522651,-0.735663858078456,0.607893152573926,0.151117300655886,0.298931796383049,19.9920744619009,1,"ns","Games-Howell"
"98","MAB","MS","diff_ci","wind2","wind5",11,11,-0.0441894265426368,-0.722675666901085,0.634296813815812,0.152632198187344,0.204718555692231,19.9999989010124,1,"ns","Games-Howell"
"99","MAB","MS","diff_ci","wind2","wind6",11,11,-0.111565615410871,-0.816229496978241,0.5930982661565,0.158439430535094,0.497911428599861,19.8963423913009,0.996,"ns","Games-Howell"
"100","MAB","MS","diff_ci","wind3","wind4",11,11,0.175046384969341,-0.454897205642187,0.80498997558087,0.14151842201723,0.874631613818746,19.7273933799913,0.948,"ns","Games-Howell"
"101","MAB","MS","diff_ci","wind3","wind5",11,11,0.194742311178969,-0.442715600563293,0.832200222921232,0.143134947291798,0.962054420838712,19.6295661492104,0.924,"ns","Games-Howell"
"102","MAB","MS","diff_ci","wind3","wind6",11,11,0.127366122310736,-0.539189208447886,0.793921453069357,0.149312016800424,0.603176158954012,19.1761726265312,0.99,"ns","Games-Howell"
"103","MAB","MS","diff_ci","wind4","wind5",11,11,0.0196959262096283,-0.652163521461732,0.691555373880989,0.151135368385897,0.0921499919794926,19.9918868966873,1,"ns","Games-Howell"
